gene_id,eid,chrom,start,end,strand,neighbors,scores,expression,bs,bf,k_on,k_off,k_syn,gene_name,bulk_exp,mean,cv,bulk_exp_label,sc_exp_label,bs_label,bf_label,cv_label,mean_label
ENSG00000143252,E003,chr1,161284169,161284170,+,,,2.0979228486646884,16.48502217662037,0.13808387038937311,0.1437261039766341,3.517446841954209,57.985189194698414,SDHC,41.516,2.276315665602388,5.689758140946239,1,1,0,1,1,1
ENSG00000143321,E003,chr1,156722240,156722241,-,,,26.130563798219583,46.64321659182715,0.5764228395351174,0.6041194609820083,12.572950667842743,586.4428611985469,HDGF,123.472,26.886215352912508,1.5052000073043317,1,1,1,1,0,1
ENSG00000143322,E003,chr1,179112211,179112212,-,,,6.887240356083086,41.50775697331912,0.16555128638578417,0.1689972973350754,8.118871466527672,336.9961437302456,ABL2,4.048,6.871662561921483,5.318017294494339,1,1,1,1,1,1
ENSG00000143324,E003,chr1,180601156,180601157,+,,,2.8664688427299705,33.06981934580556,0.10049301913465744,0.1030054844255314,4.11999009695728,136.2473282128852,XPR1,28.934,3.323285988297704,7.9589211508302355,1,1,1,1,1,1
ENSG00000143333,E003,chr1,182573524,182573525,-,,,5.679525222551929,86.23322162567632,0.06289869109415516,0.0660501582154199,1.3182649028064424,113.6782295250586,RGS16,5.105,5.423956769087235,8.555132936493857,1,1,1,1,1,1
ENSG00000143379,E003,chr1,150898837,150898838,+,,,1.5370919881305638,16.777687048976937,0.1024304948223037,0.1049413999912975,4.281005774806466,71.82537514456591,SETDB1,6.599,1.7185467864004638,8.156088755012611,1,1,0,1,1,1
ENSG00000143376,E003,chr1,151584524,151584525,+,,,4.192878338278931,14.194730071378801,0.3037993903280561,0.3165383077490865,7.548847498680812,107.15385259377716,SNX27,17.814,4.312350341556203,2.9219197028893085,1,1,0,1,0,1
ENSG00000143375,E003,chr1,151483861,151483862,+,,,1.249258160237389,27.39992188347996,0.041196928703328514,0.0413733231019345,9.662743576441253,264.7584191745881,CGN,35.64,1.1287926283104948,22.7046191718797,1,1,1,1,1,1
ENSG00000143374,E003,chr1,150459893,150459894,+,,,2.225519287833828,22.58556783663089,0.11104588238616939,0.1117860479377508,16.77108628628869,378.7845070129632,TARS2,12.118,2.5080343096113635,8.788223194885461,1,1,0,1,1,1
ENSG00000143369,E003,chr1,150480583,150480584,+,,,0.0504451038575667,14.825296504187751,0.004958304068581801,0.0049774926330518,1.2861786514766167,19.0679798654972,ECM1,0.545,0.07350832797464567,126.38491169053964,0,0,0,0,1,0
ENSG00000143368,E003,chr1,149899695,149899696,-,,,14.186943620178042,17.65130327208028,0.8417249089463134,0.9191213975558332,9.995897599069275,176.4406199978309,SF3B4,79.565,14.857541639475539,0.9800608056446798,1,1,0,1,0,1
ENSG00000143248,E003,chr1,163172706,163172707,-,,,4.169139465875371,57.16203050200188,0.08048421399169882,0.0813674395033987,7.414634570896952,423.8355675028092,RGS5,14.774,4.600641095123135,10.943032611395495,1,1,1,1,1,1
ENSG00000143367,E003,chr1,151512783,151512784,+,,,0.8961424332344213,28.094815129475236,0.03372796723064662,0.0345231616973721,1.4642909566789626,41.13898372365789,TUFT1,5.128,0.9475810040380155,18.029266726013475,1,1,1,0,1,1
ENSG00000143363,E003,chr1,150980923,150980924,+,,,3.0623145400593472,25.498271068780706,0.11040532687517472,0.1137059106613343,3.803490245224474,96.98242528019684,PRUNE1,17.337,2.8151449521005443,7.157927974390915,1,1,1,1,1,1
ENSG00000143340,E003,chr1,179712424,179712425,+,,,0.0,0.012721571725478897,0.0009999872785901108,0.001,78.60663930363177,1.0,FAM163A,0.095,1.2721409889150542e-05,0.0,0,0,0,0,0,0
ENSG00000143337,E003,chr1,179851418,179851419,+,,,2.486646884272997,22.450182448121293,0.10088392435212387,0.1029839579483036,4.947266482802393,111.06703515838905,TOR1AIP1,14.513,2.264862507787648,8.381562109001834,1,1,0,1,1,1
ENSG00000143365,E003,chr1,151798572,151798573,-,,,0.0,0.012721571725478897,0.0009999872785901108,0.001,78.60663930363177,1.0,RORC,0.149,1.2721409889150542e-05,0.0,0,0,0,0,0,0
